episode,reward,steps,key,door,goal,exploration
401,0.58,24,1,1,1,0.29
402,-0.22,50,1,1,0,0.29
403,0.7,20,1,1,1,0.29
404,1.0,8,1,1,1,0.29
405,1.04,7,1,1,1,0.29
406,0.96,9,1,1,1,0.29
407,1.04,7,1,1,1,0.29
408,0.7,23,1,1,1,0.29
409,0.16,44,1,1,1,0.29
410,0.2,31,1,1,1,0.29
411,0.38,28,1,1,1,0.29
412,0.88,12,1,1,1,0.29
413,0.22,38,1,1,1,0.29
414,0.94,11,1,1,1,0.29
415,-0.02,42,1,1,1,0.29
416,0.9,12,1,1,1,0.29
417,0.88,14,1,1,1,0.29
418,0.96,10,1,1,1,0.29
419,0.92,11,1,1,1,0.29
420,0.4,35,1,1,1,0.29
421,0.92,11,1,1,1,0.29
422,-0.64,50,1,0,0,0.29
423,0.92,11,1,1,1,0.29
424,1.04,7,1,1,1,0.29
425,1.0,9,1,1,1,0.29
426,0.88,12,1,1,1,0.29
427,1.04,7,1,1,1,0.29
428,0.38,29,1,1,1,0.29
429,0.9,13,1,1,1,0.29
430,0.3,39,1,1,1,0.29
431,0.96,10,1,1,1,0.29
432,0.58,25,1,1,1,0.29
433,-0.42,50,1,0,0,0.29
434,0.86,14,1,1,1,0.29
435,0.76,18,1,1,1,0.29
436,1.04,7,1,1,1,0.29
437,0.8,16,1,1,1,0.29
438,0.88,15,1,1,1,0.29
439,0.86,15,1,1,1,0.29
440,0.8,17,1,1,1,0.29
441,0.96,9,1,1,1,0.29
442,0.64,25,1,1,1,0.29
443,0.94,10,1,1,1,0.29
444,1.0,8,1,1,1,0.29
445,0.96,10,1,1,1,0.29
446,0.98,10,1,1,1,0.29
447,1.02,8,1,1,1,0.29
448,1.0,9,1,1,1,0.29
449,0.86,15,1,1,1,0.29
450,0.58,25,1,1,1,0.29
451,1.02,8,1,1,1,0.29
452,0.48,23,1,1,1,0.29
453,0.96,9,1,1,1,0.29
454,1.0,8,1,1,1,0.29
455,0.92,13,1,1,1,0.29
456,0.7,19,1,1,1,0.29
457,0.76,18,1,1,1,0.29
458,1.0,8,1,1,1,0.29
459,0.96,11,1,1,1,0.29
460,1.02,8,1,1,1,0.29
461,0.96,11,1,1,1,0.29
462,0.88,11,1,1,1,0.29
463,-0.24,50,1,1,0,0.29
464,1.02,8,1,1,1,0.29
465,0.86,14,1,1,1,0.29
466,0.96,9,1,1,1,0.29
467,0.0,45,1,1,1,0.29
468,1.0,9,1,1,1,0.29
469,0.92,12,1,1,1,0.29
470,-0.28,50,1,1,0,0.29
471,0.76,19,1,1,1,0.29
472,0.96,10,1,1,1,0.29
473,0.44,31,1,1,1,0.29
474,1.0,9,1,1,1,0.29
475,-0.7,50,1,1,0,0.29
476,0.64,25,1,1,1,0.29
477,1.0,8,1,1,1,0.29
478,1.0,9,1,1,1,0.29
479,0.94,12,1,1,1,0.29
480,0.88,11,1,1,1,0.29
481,0.94,10,1,1,1,0.29
482,1.0,8,1,1,1,0.29
483,0.8,16,1,1,1,0.29
484,1.04,7,1,1,1,0.29
485,1.0,9,1,1,1,0.29
486,1.0,8,1,1,1,0.29
487,0.96,9,1,1,1,0.29
488,-0.78,50,0,0,0,0.29
489,1.0,8,1,1,1,0.29
490,0.96,10,1,1,1,0.29
491,0.48,31,1,1,1,0.29
492,0.96,9,1,1,1,0.29
493,0.92,12,1,1,1,0.29
494,-0.7,50,0,0,0,0.29
495,1.0,9,1,1,1,0.29
496,0.9,13,1,1,1,0.29
497,0.84,13,1,1,1,0.29
498,0.92,12,1,1,1,0.29
499,0.98,10,1,1,1,0.29
500,0.5,27,1,1,1,0.29
501,0.86,16,1,1,1,0.29
502,1.04,7,1,1,1,0.29
503,0.98,9,1,1,1,0.29
504,0.52,31,1,1,1,0.29
505,0.96,9,1,1,1,0.29
506,0.6,24,1,1,1,0.29
507,0.96,9,1,1,1,0.29
508,1.0,8,1,1,1,0.29
509,0.96,9,1,1,1,0.29
510,1.04,7,1,1,1,0.29
511,-0.12,50,1,1,0,0.29
512,0.94,12,1,1,1,0.29
513,0.42,29,1,1,1,0.29
514,0.6,25,1,1,1,0.29
515,-0.78,50,0,0,0,0.29
516,0.5,22,1,1,1,0.29
517,0.84,16,1,1,1,0.29
518,0.82,16,1,1,1,0.29
