episode,reward,steps,key,door,goal
671,-0.22,50,1,1,0
672,-0.32,50,1,1,0
673,0.96,9,1,1,1
674,-0.42,50,1,1,0
675,0.88,13,1,1,1
676,-0.24,50,1,1,0
677,0.3,33,1,1,1
678,-0.26,50,1,1,0
679,0.96,9,1,1,1
680,0.7,20,1,1,1
681,-0.26,50,1,1,0
682,0.22,37,1,1,1
683,0.52,29,1,1,1
684,0.58,22,1,1,1
685,0.62,24,1,1,1
686,0.68,22,1,1,1
687,0.54,21,1,1,1
688,0.5,24,1,1,1
689,0.28,36,1,1,1
690,0.98,9,1,1,1
691,0.3,36,1,1,1
692,0.66,20,1,1,1
693,0.48,27,1,1,1
694,0.62,22,1,1,1
695,0.64,23,1,1,1
696,-0.3,50,1,1,0
697,0.62,26,1,1,1
698,0.58,24,1,1,1
699,-0.24,50,1,1,0
700,0.7,21,1,1,1
701,-0.36,50,1,0,0
702,0.18,38,1,1,1
703,-0.04,50,1,1,1
704,0.38,32,1,1,1
705,0.4,31,1,1,1
706,-0.26,50,1,1,0
707,-0.4,50,1,1,0
708,-0.3,50,1,1,0
709,-0.32,50,1,0,0
710,0.54,24,1,1,1
711,0.48,27,1,1,1
712,-0.24,50,1,0,0
713,-0.2,50,0,0,0
714,-0.22,50,1,1,0
715,0.74,19,1,1,1
716,0.62,24,1,1,1
717,0.94,12,1,1,1
718,0.56,26,1,1,1
719,0.42,32,1,1,1
720,-0.3,50,1,1,0
721,0.64,23,1,1,1
722,0.36,31,1,1,1
723,0.42,28,1,1,1
724,0.84,15,1,1,1
725,0.16,42,1,1,1
726,0.78,18,1,1,1
727,-0.42,50,1,1,0
728,0.62,25,1,1,1
729,-0.26,50,1,1,0
730,0.84,14,1,1,1
731,-0.28,50,1,0,0
732,0.64,19,1,1,1
733,-0.24,50,1,1,0
734,0.74,18,1,1,1
735,0.02,47,1,1,1
736,0.9,11,1,1,1
737,0.66,21,1,1,1
738,0.96,10,1,1,1
739,-0.2,50,1,1,0
740,-0.2,50,1,0,0
741,0.48,25,1,1,1
742,0.0,47,1,1,1
743,0.96,10,1,1,1
744,0.42,29,1,1,1
745,0.6,22,1,1,1
746,-0.36,50,1,1,0
747,0.14,42,1,1,1
748,-0.48,50,1,1,0
749,0.82,13,1,1,1
750,-0.28,50,1,1,0
751,0.54,25,1,1,1
752,0.46,25,1,1,1
753,-0.3,50,1,0,0
754,-0.36,50,1,0,0
755,0.28,37,1,1,1
756,-0.32,50,1,1,0
757,-0.32,50,1,0,0
758,-0.3,50,1,0,0
759,0.88,12,1,1,1
