episode,reward,length,key_picked,door_opened,goal_reached
788,1.01,17,True,True,True
789,1.0,16,True,True,True
790,1.03,15,True,True,True
791,1.03,15,True,True,True
792,1.03,15,True,True,True
793,1.01,17,True,True,True
794,1.01,17,True,True,True
795,1.03,15,True,True,True
796,1.0,16,True,True,True
797,1.01,17,True,True,True
798,1.0,16,True,True,True
799,0.96,20,True,True,True
800,1.03,15,True,True,True
801,1.01,17,True,True,True
802,1.01,17,True,True,True
803,1.03,15,True,True,True
804,1.01,17,True,True,True
805,1.0,16,True,True,True
806,1.0,16,True,True,True
807,1.0,16,True,True,True
808,1.03,15,True,True,True
809,1.03,15,True,True,True
810,1.03,15,True,True,True
811,1.0,16,True,True,True
812,0.96,20,True,True,True
813,1.03,15,True,True,True
814,1.03,15,True,True,True
815,1.01,17,True,True,True
816,1.03,15,True,True,True
817,1.0,16,True,True,True
818,1.03,15,True,True,True
819,1.03,15,True,True,True
820,1.03,15,True,True,True
821,1.03,15,True,True,True
822,1.03,15,True,True,True
823,1.03,15,True,True,True
824,0.98,18,True,True,True
825,1.03,15,True,True,True
826,1.03,15,True,True,True
827,1.03,15,True,True,True
828,1.01,17,True,True,True
829,1.03,15,True,True,True
830,1.03,15,True,True,True
831,0.98,18,True,True,True
832,1.03,15,True,True,True
833,1.03,15,True,True,True
834,1.0,16,True,True,True
835,1.03,15,True,True,True
836,1.03,15,True,True,True
837,1.03,15,True,True,True
838,-0.02,100,False,False,False
839,1.03,15,True,True,True
840,1.0,16,True,True,True
841,1.03,15,True,True,True
842,0.97,17,True,True,True
843,1.01,17,True,True,True
844,0.97,21,True,True,True
845,1.03,15,True,True,True
846,0.95,19,True,True,True
847,1.03,15,True,True,True
848,0.99,19,True,True,True
849,1.0,16,True,True,True
850,1.0,16,True,True,True
851,1.03,15,True,True,True
852,1.03,15,True,True,True
853,1.03,15,True,True,True
854,1.03,15,True,True,True
855,1.03,15,True,True,True
856,0.98,18,True,True,True
857,1.01,17,True,True,True
858,1.03,15,True,True,True
859,1.0,16,True,True,True
860,0.98,18,True,True,True
861,1.01,17,True,True,True
862,1.03,15,True,True,True
863,1.03,15,True,True,True
864,1.03,15,True,True,True
865,1.03,15,True,True,True
866,1.0,16,True,True,True
867,1.03,15,True,True,True
868,1.0,16,True,True,True
869,1.01,17,True,True,True
870,1.03,15,True,True,True
871,1.03,15,True,True,True
872,1.03,15,True,True,True
873,0.89,21,True,True,True
874,1.0,16,True,True,True
875,1.03,15,True,True,True
876,0.99,19,True,True,True
877,1.03,15,True,True,True
878,1.03,15,True,True,True
879,1.03,15,True,True,True
880,0.98,18,True,True,True
881,1.03,15,True,True,True
882,0.94,22,True,True,True
883,1.03,15,True,True,True
884,1.03,15,True,True,True
885,1.01,17,True,True,True
886,1.03,15,True,True,True
887,1.03,15,True,True,True
888,1.01,17,True,True,True
889,1.03,15,True,True,True
890,1.03,15,True,True,True
891,1.0,16,True,True,True
892,1.03,15,True,True,True
893,1.01,17,True,True,True
894,1.01,17,True,True,True
895,1.03,15,True,True,True
896,1.03,15,True,True,True
897,1.03,15,True,True,True
898,1.01,17,True,True,True
899,1.03,15,True,True,True
900,1.01,17,True,True,True
901,1.03,15,True,True,True
902,1.03,15,True,True,True
903,1.03,15,True,True,True
904,1.03,15,True,True,True
905,1.03,15,True,True,True
906,1.03,15,True,True,True
907,1.01,17,True,True,True
908,1.03,15,True,True,True
909,1.0,16,True,True,True
910,1.01,17,True,True,True
911,1.03,15,True,True,True
912,1.01,17,True,True,True
913,1.01,17,True,True,True
914,0.96,20,True,True,True
915,1.0,16,True,True,True
916,1.03,15,True,True,True
917,0.99,19,True,True,True
918,1.01,17,True,True,True
919,1.03,15,True,True,True
