episode,reward,steps,key,door,goal
406,0.92,13,1,1,1
407,0.82,16,1,1,1
408,0.64,23,1,1,1
409,0.92,11,1,1,1
410,0.64,21,1,1,1
411,0.96,10,1,1,1
412,0.88,11,1,1,1
413,-0.16,50,1,1,0
414,0.84,17,1,1,1
415,0.88,14,1,1,1
416,0.94,11,1,1,1
417,1.04,7,1,1,1
418,0.3,36,1,1,1
419,0.18,39,1,1,1
420,0.82,15,1,1,1
421,0.28,39,1,1,1
422,0.94,10,1,1,1
423,0.92,12,1,1,1
424,0.94,12,1,1,1
425,0.44,32,1,1,1
426,1.04,7,1,1,1
427,0.18,39,1,1,1
428,0.68,22,1,1,1
429,1.0,8,1,1,1
430,0.94,11,1,1,1
431,0.72,19,1,1,1
432,0.46,30,1,1,1
433,1.0,8,1,1,1
434,0.96,10,1,1,1
435,0.92,11,1,1,1
436,0.94,10,1,1,1
437,0.88,12,1,1,1
438,0.76,20,1,1,1
439,0.14,47,1,1,1
440,0.76,18,1,1,1
441,0.92,11,1,1,1
442,-0.08,50,1,1,0
443,0.8,15,1,1,1
444,0.46,30,1,1,1
445,-0.24,50,1,1,0
446,0.58,27,1,1,1
447,0.6,25,1,1,1
448,0.96,9,1,1,1
449,0.76,19,1,1,1
450,0.72,20,1,1,1
451,1.04,7,1,1,1
452,0.78,16,1,1,1
453,-0.16,50,1,1,0
454,-0.22,50,1,1,0
455,0.1,41,1,1,1
456,0.88,12,1,1,1
457,0.42,33,1,1,1
458,0.7,20,1,1,1
459,0.76,18,1,1,1
460,0.82,15,1,1,1
461,0.94,10,1,1,1
462,-0.18,50,1,1,0
463,0.74,18,1,1,1
464,0.98,10,1,1,1
465,0.44,32,1,1,1
466,0.34,36,1,1,1
467,0.74,18,1,1,1
468,0.7,19,1,1,1
469,0.86,14,1,1,1
470,0.32,35,1,1,1
471,0.9,13,1,1,1
472,0.74,19,1,1,1
473,0.68,22,1,1,1
474,0.02,49,1,1,1
475,0.68,21,1,1,1
476,0.7,21,1,1,1
477,0.88,12,1,1,1
478,0.52,32,1,1,1
479,0.8,16,1,1,1
480,0.96,10,1,1,1
481,0.7,18,1,1,1
482,0.54,27,1,1,1
483,0.92,12,1,1,1
484,1.0,9,1,1,1
485,0.56,25,1,1,1
486,0.76,19,1,1,1
487,0.88,13,1,1,1
488,0.34,36,1,1,1
489,0.98,10,1,1,1
490,0.8,16,1,1,1
491,1.0,9,1,1,1
492,0.64,24,1,1,1
493,0.92,12,1,1,1
494,0.98,9,1,1,1
495,0.48,30,1,1,1
